episodeID, subjectID
EID1,"[8,17,28,49,59,60]"
EID2,"[9,14,15,38,52,53,59,60,66]"
EID3,"[9,15,22,38,39,56,57,59,60,66]"
EID4,"[8,14,15,33,38,53,59,60]"
EID5,"[17,49,50,59,60]"
EID6,"[9,15,33,37,38,39,40,52,53,56,59,60,66]"
EID7,"[17,33,38,39,53,59,60]"
EID8,"[8,15,33,38,39,59,60]"
EID9,"[4,14,22,41]"
EID10,"[8,15,17,33,38,59,60]"
EID11,"[17,33,59,60]"
EID12,"[12,14,15,33,38,39,53,59,60]"
EID13,"[8,15,17,28,38,53,59,60]"
EID14,"[8,15,16,17,28,33,38,53,59,60]"
EID15,"[15,33,52,57,59,60]"
EID16,"[14,16,17,41,57,59,60,63]"
EID17,"[8,9,14,15,16,17,33,38,39,52,53,56,59,60]"
EID18,"[8,17,28,33,59,60]"
EID19,"[8,14,16,17,28,49,59,60]"
EID20,"[14,15,16,28,33,38,39,59,60]"
EID21,"[8,12,14,15,33,38,53,59,60]"
EID22,"[12,16,17,41,50,57,59,60,63]"
EID23,"[17,28,49,59,60]"
EID24,"[8,14,15,16,17,28,49,50,59,60,62]"
EID25,"[17,28,33,38,39,53,59,60,62]"
EID26,"[8,14,15,16,33,38,39,53,59,60]"
EID27,"[8,9,15,17,33,38,39,56,59,60]"
EID28,"[14,16,37,40,41,43,59,60,63]"
EID29,"[17,28,49,50,59,60]"
EID30,"[9,15,52,56,59,60,66]"
EID31,"[12,14,15,17,32,33,38,39,59,60]"
EID32,"[6,17,44,56,59,60]"
EID33,"[17,33,38,39,59,60]"
EID34,"[13,14,16,35,40,41,56,63]"
EID35,"[8,9,14,16,17,36,49,56,59,60]"
EID36,"[8,17,23,33,45,59,60]"
EID37,"[3,17,22,33,56,59,60]"
EID38,"[8,15,17,33,38,39,59,60]"
EID39,"[14,15,16,17,29,33,38,53,55,59,60]"
EID40,"[9,15,33,52,56,59,60,66]"
EID41,"[8,14,16,17,28,33,38,39,59,60]"
EID42,"[8,15,28,38,39,53,59,60]"
EID43,"[9,11,14,15,16,17,27,29,33,52,56,59,60,66]"
EID44,"[4,13,14,15,16,41,50,59,60,63]"
EID45,"[8,17,33,59,60]"
EID46,"[9,17,28,44,56,59,60]"
EID47,"[15,17,28,33,59,60]"
EID48,"[8,14,15,33,38,39,53,59,60]"
EID49,"[8,15,28,49,59,60]"
EID50,"[14,15,16,18,29,38,39,53,59,60]"
EID51,"[17,28,32,33,59,60]"
EID52,"[15,28,33,38,53,59]"
EID53,"[8,14,15,16,33,38,39,53,59,60,62]"
EID54,"[14,16,17,28,33,59,60]"
EID55,"[15,25,29,38,39,52,53,59,60]"
EID56,"[15,17,33,52,59,60,66]"
EID57,"[17,28,33,59,60]"
EID58,"[14,28,29,41,57]"
EID59,"[17,28,49,50,59,60]"
EID60,"[17,28,38,39,49,59,60]"
EID61,"[29,41,63]"
EID62,"[3,14,17,44,56,59,64]"
EID63,"[8,14,16,17,28,33,38,50,53,59,60]"
EID64,"[29,46]"
EID65,"[3,14,17,28,49,50,56,59,60]"
EID66,"[8,15,17,28,32,49,59,60]"
EID67,"[8,9,14,17,26,28,33,56,59,60]"
EID68,"[14,15,26,33,38,53,59,60]"
EID69,"[17,28,49,50,59,60]"
EID70,"[8,17,49,59,60]"
EID71,"[14,15,16,28,52,59,60]"
EID72,"[12,14,15,28,38,39,49,53,59,60,62]"
EID73,"[8,15,33,38,53,59,60]"
EID74,"[8,9,14,15,16,28,50,59,60]"
EID75,"[3,12,14,22,28]"
EID76,"[12,14,17,38,39,49,59]"
EID77,"[8,14,17,33,59,60]"
EID78,"[14,15,17,28,32,49,59,60]"
EID79,"[9,14,17,52,56,59,66]"
EID80,"[14,17,28,33,50,59,60]"
EID81,"[12,14,15,17,49,57,59,60]"
EID82,"[9,14,15,16,17,38,39,49,53,56,59,60]"
EID83,"[29,46]"
EID84,"[8,14,16,17,33,49,59,60,62]"
EID85,"[3,14,16,17,44,52,56,59,60]"
EID86,"[8,17,38,49,53,59,60]"
EID87,"[8,14,16,17,29,33,38,53,55,59,60]"
EID88,"[14,15,28,38,39,53,59,60]"
EID89,"[8,14,33,52,59,60,66]"
EID90,"[5,14,16,17,19,33,56,59]"
EID91,"[8,17,49,59,60,62]"
EID92,"[15,26,28,38,39,59,60]"
EID93,"[8,9,11,14,17,27,28,33,56,59,60]"
EID94,"[9,17,28,52,56,57,59,60,66]"
EID95,"[8,17,28,33,44,50,59,60]"
EID96,"[9,12,14,15,17,44,49,50,56,59,60]"
EID97,"[8,14,15,28,38,39,49,59,60]"
EID98,"[9,15,17,22,52,56,59,60,66]"
EID99,"[15,17,28,38,39,49,53,59,60]"
EID100,"[8,14,15,27,48,59,60]"
EID101,"[10,14,44,50]"
EID102,"[14,15,16,17,29,33,38,39,53,55,59,60]"
EID103,"[9,14,15,52,56,59,66]"
EID104,"[2,9,15,17,33,38,40,52,53,56,59,60,66]"
EID105,"[12,14,15,38,39,52,53,57,59,60,66]"
EID106,"[4,13,14,16,41,50,63]"
EID107,"[8,14,15,33,59,60]"
EID108,"[8,14,15,16,17,28,38,39,44,53,59,60]"
EID109,"[8,9,15,26,27,38,42,49,53,56,59,60]"
EID110,"[4,14,16,41,50,63]"
EID111,"[8,15,17,38,39,49,50,53,59,60]"
EID112,"[9,17,22,38,44,56,59,60]"
EID113,"[8,14,38,49,53,59,60]"
EID114,"[8,14,16,17,28,38,39,49,59,60]"
EID115,"[4,8,14,16,17,38,41,53,59,63]"
EID116,"[12,14,15,17,28,38,39,49,53,59,60]"
EID117,"[8,14,15,16,17,32,33,38,53,59,60]"
EID118,"[9,14,15,22,28,56,59,60]"
EID119,"[14,15,17,28,32,49,50,59,60,62]"
EID120,"[6,17,49,50,56,59,60]"
EID121,"[14,16,41,50,63]"
EID122,"[8,14,15,16,17,33,38,39,53,59,60]"
EID123,"[8,17,52,59,60,66]"
EID124,"[17,33,52,57,59,60]"
EID125,"[8,12,14,15,17,27,29,33,38,39,42,53,55,59,60]"
EID126,"[4,14,41,50,63]"
EID127,"[9,15,17,27,28,38,39,44,53,56,59,60,61]"
