subjectID, DATA
1, APPLE FRAME
2, AURORA BOREALIS
3, BARN
4, BEACH
5, BOAT
6, BRIDGE
7, BUILDING
8, BUSHES
9, CABIN
10, CACTUS
11, CIRCLE FRAME
12, CIRRUS
13, CLIFF
14, CLOUDS
15, CONIFER
16, CUMULUS
17, DECIDUOUS
18, DIANE ANDRE
19, DOCK
20, DOUBLE OVAL FRAME
21, FARM
22, FENCE
23, FIRE
24, FLORIDA FRAME
25, FLOWERS
26, FOG
27, FRAMED
28, GRASS
29, GUEST
30, HALF CIRCLE FRAME
31, HALF OVAL FRAME
32, HILLS
33, LAKE
34, LAKES
35, LIGHTHOUSE
36, MILL
37, MOON
38, MOUNTAIN
39, MOUNTAINS
40, NIGHT
41, OCEAN
42, OVAL FRAME
43, PALM TREES
44, PATH
45, PERSON
46, PORTRAIT
47, RECTANGLE 3D FRAME
48, RECTANGULAR FRAME
49, RIVER
50, ROCKS
51, SEASHELL FRAME
52, SNOW
53, SNOWY MOUNTAIN
54, SPLIT FRAME
55, STEVE ROSS
56, STRUCTURE
57, SUN
58, TOMB FRAME
59, TREE
60, TREES
61, TRIPLE FRAME
62, WATERFALL
63, WAVES
64, WINDMILL
65, WINDOW FRAME
66, WINTER
67, WOOD FRAMED
